# This is a transfer function data file in the "Plain" format
# Comments are ignored
# The titles should be on a comment line, and contain no spaces
# Wavenumbers k are in 1/Mpc
# Transfer functions are in the CAMB/CMBFAST/Eisenstein-Hu format,
# and differ by a factor -1/k^2 from CLASS.

# k d_g d_b d_cdm d_ur d_ncdm[0] d_ncdm[1] d_ncdm[2] d_tot d_cb phi psi h h_prime eta eta_prime H_T_Nb_prime k2gamma_Nb t_g t_b t_cdm t_cb t_ur t_ncdm[0] t_ncdm[1] t_ncdm[2] t_tot
 1.106204E-02 5.107352E+03 3.758233E+05 3.940861E+05 4.452173E+03 1.381139E+05 1.381139E+05 1.381139E+05 3.776858E+05 3.912661E+05 -3.167968E+03 -3.167430E+03 -7.881721E+05 -6.336012E+02 -5.307282E+03 8.395041E-02 -1.672279E-01 7.254010E-05 -3.048993E+00 -3.149818E+02 -3.167160E+02 -6.329965E+02 3.545293E+00 -1.575237E+02 -1.575237E+02 -1.575237E+02 -3.067268E+02
 1.114988E-02 5.067639E+03 3.741329E+05 3.926178E+05 4.283797E+03 1.366802E+05 1.366802E+05 1.366802E+05 3.761961E+05 3.897635E+05 -3.105931E+03 -3.105409E+03 -7.852356E+05 -6.311294E+02 -5.203473E+03 8.272963E-02 -1.652874E-01 7.179112E-05 -1.799571E+00 -3.137281E+02 -3.154818E+02 -6.305270E+02 3.853050E+00 -1.560883E+02 -1.560883E+02 -1.560883E+02 -3.054809E+02
 1.123775E-02 5.002968E+03 3.724480E+05 3.911543E+05 4.113983E+03 1.352644E+05 1.352644E+05 1.352644E+05 3.747116E+05 3.882657E+05 -3.045465E+03 -3.044961E+03 -7.823086E+05 -6.286663E+02 -5.102292E+03 8.153273E-02 -1.629146E-01 7.106754E-05 -5.529505E-01 -3.124785E+02 -3.142515E+02 -6.280658E+02 4.017689E+00 -1.546666E+02 -1.546666E+02 -1.546666E+02 -3.042393E+02
 1.132565E-02 4.914566E+03 3.707667E+05 3.896953E+05 3.946031E+03 1.338660E+05 1.338660E+05 1.338660E+05 3.732317E+05 3.867722E+05 -2.986517E+03 -2.986034E+03 -7.793905E+05 -6.262112E+02 -5.003649E+03 8.035607E-02 -1.601367E-01 7.036601E-05 6.500227E-01 -3.112323E+02 -3.130247E+02 -6.256119E+02 4.037269E+00 -1.532581E+02 -1.532581E+02 -1.532581E+02 -3.030019E+02
 1.141358E-02 4.804398E+03 3.690903E+05 3.882409E+05 3.783112E+03 1.324849E+05 1.324849E+05 1.324849E+05 3.717570E+05 3.852835E+05 -2.929042E+03 -2.928580E+03 -7.764817E+05 -6.237645E+02 -4.907468E+03 7.919659E-02 -1.569925E-01 6.968363E-05 1.770647E+00 -3.099900E+02 -3.118017E+02 -6.231661E+02 3.914860E+00 -1.518631E+02 -1.518631E+02 -1.518631E+02 -3.017696E+02
 1.150155E-02 4.675165E+03 3.674189E+05 3.867911E+05 3.628152E+03 1.311208E+05 1.311208E+05 1.311208E+05 3.702873E+05 3.837994E+05 -2.872992E+03 -2.872554E+03 -7.735822E+05 -6.213263E+02 -4.813673E+03 7.805145E-02 -1.535323E-01 6.901783E-05 2.774022E+00 -3.087516E+02 -3.105825E+02 -6.207283E+02 3.658775E+00 -1.504812E+02 -1.504812E+02 -1.504812E+02 -3.005425E+02
 1.158954E-02 4.530098E+03 3.657515E+05 3.853458E+05 3.483739E+03 1.297734E+05 1.297734E+05 1.297734E+05 3.688224E+05 3.823197E+05 -2.818322E+03 -2.817908E+03 -7.706915E+05 -6.188959E+02 -4.722183E+03 7.691825E-02 -1.498142E-01 6.836631E-05 3.629255E+00 -3.075168E+02 -3.093670E+02 -6.182980E+02 3.281722E+00 -1.491123E+02 -1.491123E+02 -1.491123E+02 -2.993208E+02
 1.167757E-02 4.372922E+03 3.640891E+05 3.839051E+05 3.352049E+03 1.284424E+05 1.284424E+05 1.284424E+05 3.673625E+05 3.808447E+05 -2.764990E+03 -2.764602E+03 -7.678101E+05 -6.164740E+02 -4.632933E+03 7.579534E-02 -1.459040E-01 6.772734E-05 4.311021E+00 -3.062861E+02 -3.081555E+02 -6.158759E+02 2.800481E+00 -1.477566E+02 -1.477566E+02 -1.477566E+02 -2.981050E+02
 1.176563E-02 4.207685E+03 3.624316E+05 3.824689E+05 3.234769E+03 1.271277E+05 1.271277E+05 1.271277E+05 3.659077E+05 3.793742E+05 -2.712955E+03 -2.712592E+03 -7.649377E+05 -6.140603E+02 -4.545852E+03 7.468126E-02 -1.418715E-01 6.709952E-05 4.799913E+00 -3.050594E+02 -3.069480E+02 -6.134619E+02 2.235226E+00 -1.464139E+02 -1.464139E+02 -1.464139E+02 -2.968953E+02
 1.185372E-02 4.038598E+03 3.607786E+05 3.810372E+05 3.133076E+03 1.258288E+05 1.258288E+05 1.258288E+05 3.644578E+05 3.779083E+05 -2.662177E+03 -2.661839E+03 -7.620744E+05 -6.116546E+02 -4.460874E+03 7.357468E-02 -1.377884E-01 6.648188E-05 5.082865E+00 -3.038367E+02 -3.057444E+02 -6.110559E+02 1.608506E+00 -1.450841E+02 -1.450841E+02 -1.450841E+02 -2.956917E+02
 1.194184E-02 3.869940E+03 3.591300E+05 3.796100E+05 3.047585E+03 1.245455E+05 1.245455E+05 1.245455E+05 3.630128E+05 3.764468E+05 -2.612617E+03 -2.612304E+03 -7.592199E+05 -6.092569E+02 -4.377931E+03 7.247654E-02 -1.337269E-01 6.587379E-05 5.153561E+00 -3.026179E+02 -3.045447E+02 -6.086576E+02 9.446251E-01 -1.437671E+02 -1.437671E+02 -1.437671E+02 -2.944944E+02
 1.203000E-02 3.705893E+03 3.574862E+05 3.781872E+05 2.978383E+03 1.232776E+05 1.232776E+05 1.232776E+05 3.615728E+05 3.749898E+05 -2.564240E+03 -2.563949E+03 -7.563743E+05 -6.068671E+02 -4.296966E+03 7.138623E-02 -1.297565E-01 6.527508E-05 5.012420E+00 -3.014033E+02 -3.033492E+02 -6.062675E+02 2.685547E-01 -1.424630E+02 -1.424630E+02 -1.424630E+02 -2.933033E+02
 1.211819E-02 3.550423E+03 3.558469E+05 3.767689E+05 2.925008E+03 1.220249E+05 1.220249E+05 1.220249E+05 3.601377E+05 3.735372E+05 -2.517009E+03 -2.516740E+03 -7.535377E+05 -6.044854E+02 -4.217919E+03 7.030373E-02 -1.259425E-01 6.468581E-05 4.666543E+00 -3.001929E+02 -3.021577E+02 -6.038855E+02 -3.948906E-01 -1.411717E+02 -1.411717E+02 -1.411717E+02 -2.921186E+02
 1.220642E-02 3.407166E+03 3.542125E+05 3.753551E+05 2.886505E+03 1.207871E+05 1.207871E+05 1.207871E+05 3.587077E+05 3.720893E+05 -2.470891E+03 -2.470643E+03 -7.507101E+05 -6.021117E+02 -4.140732E+03 6.923031E-02 -1.223441E-01 6.410634E-05 4.129398E+00 -2.989867E+02 -3.009705E+02 -6.015118E+02 -1.021970E+00 -1.398932E+02 -1.398932E+02 -1.398932E+02 -2.909402E+02
 1.229468E-02 3.279322E+03 3.525829E+05 3.739456E+05 2.861492E+03 1.195639E+05 1.195639E+05 1.195639E+05 3.572826E+05 3.706458E+05 -2.425854E+03 -2.425623E+03 -7.478912E+05 -5.997460E+02 -4.065351E+03 6.816737E-02 -1.190128E-01 6.353717E-05 3.419833E+00 -2.977848E+02 -2.997875E+02 -5.991461E+02 -1.590800E+00 -1.386275E+02 -1.386275E+02 -1.386275E+02 -2.897679E+02
 1.238298E-02 3.169550E+03 3.509581E+05 3.725407E+05 2.848169E+03 1.183552E+05 1.183552E+05 1.183552E+05 3.558626E+05 3.692067E+05 -2.381864E+03 -2.381649E+03 -7.450813E+05 -5.973882E+02 -3.991723E+03 6.711584E-02 -1.159910E-01 6.297899E-05 2.562362E+00 -2.965872E+02 -2.986087E+02 -5.967887E+02 -2.082246E+00 -1.373743E+02 -1.373743E+02 -1.373743E+02 -2.886015E+02
 1.247131E-02 3.079936E+03 3.493382E+05 3.711402E+05 2.844469E+03 1.171608E+05 1.171608E+05 1.171608E+05 3.544477E+05 3.677723E+05 -2.338893E+03 -2.338692E+03 -7.422803E+05 -5.950384E+02 -3.919797E+03 6.607745E-02 -1.133112E-01 6.243250E-05 1.585154E+00 -2.953941E+02 -2.974343E+02 -5.944396E+02 -2.480305E+00 -1.361339E+02 -1.361339E+02 -1.361339E+02 -2.874408E+02
 1.255969E-02 3.011929E+03 3.477225E+05 3.697439E+05 2.848088E+03 1.159803E+05 1.159803E+05 1.159803E+05 3.530375E+05 3.663420E+05 -2.296908E+03 -2.296719E+03 -7.394877E+05 -5.926962E+02 -3.849520E+03 6.505394E-02 -1.109955E-01 6.189832E-05 5.198379E-01 -2.942050E+02 -2.962639E+02 -5.920983E+02 -2.772767E+00 -1.349058E+02 -1.349058E+02 -1.349058E+02 -2.862853E+02
 1.264810E-02 2.966284E+03 3.461122E+05 3.683521E+05 2.856590E+03 1.148136E+05 1.148136E+05 1.148136E+05 3.516325E+05 3.649164E+05 -2.255885E+03 -2.255705E+03 -7.367042E+05 -5.903622E+02 -3.780849E+03 6.404675E-02 -1.090545E-01 6.137717E-05 -5.995254E-01 -2.930204E+02 -2.950980E+02 -5.897656E+02 -2.951608E+00 -1.336902E+02 -1.336902E+02 -1.336902E+02 -2.851351E+02
 1.273654E-02 2.943098E+03 3.445063E+05 3.669647E+05 2.867501E+03 1.136605E+05 1.136605E+05 1.136605E+05 3.502323E+05 3.634952E+05 -2.215792E+03 -2.215619E+03 -7.339293E+05 -5.880358E+02 -3.713736E+03 6.305772E-02 -1.074884E-01 6.086941E-05 -1.737753E+00 -2.918401E+02 -2.939362E+02 -5.874407E+02 -3.013083E+00 -1.324869E+02 -1.324869E+02 -1.324869E+02 -2.839895E+02
 1.282503E-02 2.941792E+03 3.429051E+05 3.655815E+05 2.878396E+03 1.125208E+05 1.125208E+05 1.125208E+05 3.488370E+05 3.620782E+05 -2.176605E+03 -2.176437E+03 -7.311629E+05 -5.857171E+02 -3.648135E+03 6.208831E-02 -1.062865E-01 6.037531E-05 -2.859684E+00 -2.906639E+02 -2.927786E+02 -5.851237E+02 -2.957860E+00 -1.312957E+02 -1.312957E+02 -1.312957E+02 -2.828482E+02
 1.291356E-02 2.961191E+03 3.413090E+05 3.642027E+05 2.886985E+03 1.113943E+05 1.113943E+05 1.113943E+05 3.474467E+05 3.606658E+05 -2.138298E+03 -2.138134E+03 -7.284054E+05 -5.834065E+02 -3.584006E+03 6.114002E-02 -1.054288E-01 5.989491E-05 -3.931007E+00 -2.894921E+02 -2.916252E+02 -5.828150E+02 -2.790644E+00 -1.301167E+02 -1.301167E+02 -1.301167E+02 -2.817110E+02
 1.300212E-02 2.999517E+03 3.397178E+05 3.628283E+05 2.891176E+03 1.102807E+05 1.102807E+05 1.102807E+05 3.460613E+05 3.592578E+05 -2.100845E+03 -2.100684E+03 -7.256566E+05 -5.811035E+02 -3.521306E+03 6.021399E-02 -1.048861E-01 5.942788E-05 -4.919347E+00 -2.883246E+02 -2.904760E+02 -5.805143E+02 -2.520259E+00 -1.289496E+02 -1.289496E+02 -1.289496E+02 -2.805776E+02
 1.309073E-02 3.054475E+03 3.381309E+05 3.614580E+05 2.889165E+03 1.091799E+05 1.091799E+05 1.091799E+05 3.446805E+05 3.578540E+05 -2.064222E+03 -2.064062E+03 -7.229160E+05 -5.788081E+02 -3.459993E+03 5.931120E-02 -1.046211E-01 5.897355E-05 -5.795316E+00 -2.871610E+02 -2.893307E+02 -5.782212E+02 -2.159118E+00 -1.277941E+02 -1.277941E+02 -1.277941E+02 -2.794474E+02
 1.317938E-02 3.123361E+03 3.365498E+05 3.600923E+05 2.879475E+03 1.080919E+05 1.080919E+05 1.080919E+05 3.433049E+05 3.564550E+05 -2.028409E+03 -2.028248E+03 -7.201846E+05 -5.765209E+02 -3.400033E+03 5.843233E-02 -1.045909E-01 5.853104E-05 -6.533320E+00 -2.860018E+02 -2.881897E+02 -5.759364E+02 -1.722605E+00 -1.266504E+02 -1.266504E+02 -1.266504E+02 -2.783205E+02
 1.326807E-02 3.203112E+03 3.349728E+05 3.587307E+05 2.860985E+03 1.070162E+05 1.070162E+05 1.070162E+05 3.419337E+05 3.550600E+05 -1.993379E+03 -1.993217E+03 -7.174613E+05 -5.742409E+02 -3.341383E+03 5.757781E-02 -1.047470E-01 5.809892E-05 -7.111923E+00 -2.848464E+02 -2.870524E+02 -5.736589E+02 -1.228496E+00 -1.255180E+02 -1.255180E+02 -1.255180E+02 -2.771962E+02
 1.335681E-02 3.290421E+03 3.334008E+05 3.573733E+05 2.832992E+03 1.059527E+05 1.059527E+05 1.059527E+05 3.405673E+05 3.536694E+05 -1.959112E+03 -1.958949E+03 -7.147466E+05 -5.719686E+02 -3.284010E+03 5.674805E-02 -1.050381E-01 5.767556E-05 -7.515014E+00 -2.836950E+02 -2.859191E+02 -5.713891E+02 -6.962016E-01 -1.243969E+02 -1.243969E+02 -1.243969E+02 -2.760746E+02
 1.344559E-02 3.381859E+03 3.318340E+05 3.560204E+05 2.795182E+03 1.049015E+05 1.049015E+05 1.049015E+05 3.392058E+05 3.522833E+05 -1.925589E+03 -1.925424E+03 -7.120407E+05 -5.697043E+02 -3.227880E+03 5.594219E-02 -1.054114E-01 5.725898E-05 -7.731634E+00 -2.825477E+02 -2.847897E+02 -5.691272E+02 -1.460149E-01 -1.232870E+02 -1.232870E+02 -1.232870E+02 -2.749556E+02
 1.353442E-02 3.473931E+03 3.302718E+05 3.546715E+05 2.747643E+03 1.038620E+05 1.038620E+05 1.038620E+05 3.378487E+05 3.509014E+05 -1.892786E+03 -1.892619E+03 -7.093429E+05 -5.674472E+02 -3.172956E+03 5.516044E-02 -1.058137E-01 5.684681E-05 -7.756351E+00 -2.814041E+02 -2.836640E+02 -5.668725E+02 4.013326E-01 -1.221879E+02 -1.221879E+02 -1.221879E+02 -2.738387E+02
 1.362329E-02 3.563220E+03 3.287148E+05 3.533269E+05 2.690868E+03 1.028344E+05 1.028344E+05 1.028344E+05 3.364964E+05 3.495240E+05 -1.860687E+03 -1.860518E+03 -7.066538E+05 -5.651980E+02 -3.119208E+03 5.440161E-02 -1.061939E-01 5.643654E-05 -7.589620E+00 -2.802644E+02 -2.825420E+02 -5.646255E+02 9.252553E-01 -1.210996E+02 -1.210996E+02 -1.210996E+02 -2.727242E+02
 1.371220E-02 3.646462E+03 3.271630E+05 3.519867E+05 2.625693E+03 1.018184E+05 1.018184E+05 1.018184E+05 3.351487E+05 3.481510E+05 -1.829271E+03 -1.829101E+03 -7.039734E+05 -5.629566E+02 -3.066603E+03 5.366509E-02 -1.065038E-01 5.602537E-05 -7.237040E+00 -2.791286E+02 -2.814238E+02 -5.623860E+02 1.406910E+00 -1.200219E+02 -1.200219E+02 -1.200219E+02 -2.716120E+02
 1.380117E-02 3.720623E+03 3.256156E+05 3.506505E+05 2.553276E+03 1.008138E+05 1.008138E+05 1.008138E+05 3.338054E+05 3.467821E+05 -1.798519E+03 -1.798348E+03 -7.013009E+05 -5.607222E+02 -3.015109E+03 5.294965E-02 -1.066995E-01 5.561029E-05 -6.709551E+00 -2.779961E+02 -2.803090E+02 -5.601534E+02 1.828513E+00 -1.189546E+02 -1.189546E+02 -1.189546E+02 -2.705020E+02
 1.389018E-02 3.783002E+03 3.240734E+05 3.493185E+05 2.475065E+03 9.982046E+04 9.982046E+04 9.982046E+04 3.324666E+05 3.454176E+05 -1.768415E+03 -1.768243E+03 -6.986370E+05 -5.584956E+02 -2.964699E+03 5.225394E-02 -1.067428E-01 5.518830E-05 -6.022818E+00 -2.768675E+02 -2.791978E+02 -5.579283E+02 2.174197E+00 -1.178975E+02 -1.178975E+02 -1.178975E+02 -2.693944E+02
 1.397924E-02 3.831286E+03 3.225360E+05 3.479907E+05 2.392714E+03 9.883825E+04 9.883825E+04 9.883825E+04 3.311323E+05 3.440573E+05 -1.738940E+03 -1.738769E+03 -6.959814E+05 -5.562763E+02 -2.915342E+03 5.157637E-02 -1.066023E-01 5.475629E-05 -5.196767E+00 -2.757423E+02 -2.780900E+02 -5.557102E+02 2.432736E+00 -1.168505E+02 -1.168505E+02 -1.168505E+02 -2.682893E+02
 1.406836E-02 3.863593E+03 3.210038E+05 3.466671E+05 2.308002E+03 9.786703E+04 9.786703E+04 9.786703E+04 3.298025E+05 3.427014E+05 -1.710079E+03 -1.709909E+03 -6.933342E+05 -5.540645E+02 -2.867012E+03 5.091539E-02 -1.062534E-01 5.431121E-05 -4.254616E+00 -2.746208E+02 -2.769858E+02 -5.534994E+02 2.596534E+00 -1.158135E+02 -1.158135E+02 -1.158135E+02 -2.671869E+02
 1.415752E-02 3.878526E+03 3.194764E+05 3.453476E+05 2.222765E+03 9.690660E+04 9.690660E+04 9.690660E+04 3.284770E+05 3.413497E+05 -1.681814E+03 -1.681647E+03 -6.906951E+05 -5.518600E+02 -2.819681E+03 5.026935E-02 -1.056794E-01 5.385007E-05 -3.222474E+00 -2.735028E+02 -2.758849E+02 -5.512956E+02 2.661679E+00 -1.147863E+02 -1.147863E+02 -1.147863E+02 -2.660873E+02
 1.424674E-02 3.875171E+03 3.179543E+05 3.440323E+05 2.138823E+03 9.595690E+04 9.595690E+04 9.595690E+04 3.271560E+05 3.400024E+05 -1.654132E+03 -1.653968E+03 -6.880646E+05 -5.496632E+02 -2.773325E+03 4.963662E-02 -1.048714E-01 5.337016E-05 -2.128105E+00 -2.723884E+02 -2.747876E+02 -5.490991E+02 2.627722E+00 -1.137688E+02 -1.137688E+02 -1.137688E+02 -2.649910E+02
 1.433601E-02 3.853127E+03 3.164371E+05 3.427212E+05 2.057918E+03 9.501772E+04 9.501772E+04 9.501772E+04 3.258394E+05 3.386593E+05 -1.627017E+03 -1.626856E+03 -6.854423E+05 -5.474736E+02 -2.727916E+03 4.901557E-02 -1.038283E-01 5.286887E-05 -1.000329E+00 -2.712775E+02 -2.736936E+02 -5.469095E+02 2.497989E+00 -1.127608E+02 -1.127608E+02 -1.127608E+02 -2.638980E+02
 1.442533E-02 3.812489E+03 3.149250E+05 3.414141E+05 1.981650E+03 9.408893E+04 9.408893E+04 9.408893E+04 3.245272E+05 3.373205E+05 -1.600453E+03 -1.600297E+03 -6.828282E+05 -5.452913E+02 -2.683432E+03 4.840464E-02 -1.025567E-01 5.234398E-05 1.320149E-01 -2.701701E+02 -2.726030E+02 -5.447271E+02 2.279330E+00 -1.117623E+02 -1.117623E+02 -1.117623E+02 -2.628086E+02
 1.451471E-02 3.753826E+03 3.134179E+05 3.401111E+05 1.911428E+03 9.317038E+04 9.317038E+04 9.317038E+04 3.232193E+05 3.359860E+05 -1.574427E+03 -1.574276E+03 -6.802222E+05 -5.431163E+02 -2.639847E+03 4.780239E-02 -1.010701E-01 5.179360E-05 1.240687E+00 -2.690662E+02 -2.715158E+02 -5.425516E+02 1.981795E+00 -1.107731E+02 -1.107731E+02 -1.107731E+02 -2.617230E+02
 1.460415E-02 3.678132E+03 3.119158E+05 3.388122E+05 1.848408E+03 9.226193E+04 9.226193E+04 9.226193E+04 3.219157E+05 3.346556E+05 -1.548926E+03 -1.548780E+03 -6.776244E+05 -5.409484E+02 -2.597140E+03 4.720751E-02 -9.938817E-02 5.121621E-05 2.299321E+00 -2.679657E+02 -2.704320E+02 -5.403830E+02 1.618174E+00 -1.097932E+02 -1.097932E+02 -1.097932E+02 -2.606415E+02
 1.469364E-02 3.586826E+03 3.104191E+05 3.375176E+05 1.793478E+03 9.136352E+04 9.136352E+04 9.136352E+04 3.206167E+05 3.333297E+05 -1.523936E+03 -1.523797E+03 -6.750351E+05 -5.387882E+02 -2.555291E+03 4.661888E-02 -9.753663E-02 5.061086E-05 3.283625E+00 -2.668691E+02 -2.693518E+02 -5.382220E+02 1.203514E+00 -1.088225E+02 -1.088225E+02 -1.088225E+02 -2.595645E+02
 1.478319E-02 3.481610E+03 3.089273E+05 3.362268E+05 1.747210E+03 9.047490E+04 9.047490E+04 9.047490E+04 3.193218E+05 3.320078E+05 -1.499444E+03 -1.499311E+03 -6.724536E+05 -5.366349E+02 -2.514274E+03 4.603547E-02 -9.554481E-02 4.997686E-05 4.172487E+00 -2.657758E+02 -2.682749E+02 -5.360676E+02 7.544240E-01 -1.078608E+02 -1.078608E+02 -1.078608E+02 -2.584919E+02
 1.487281E-02 3.364493E+03 3.074408E+05 3.349402E+05 1.709865E+03 8.959602E+04 8.959602E+04 8.959602E+04 3.180314E+05 3.306902E+05 -1.475439E+03 -1.475312E+03 -6.698804E+05 -5.344889E+02 -2.474071E+03 4.545655E-02 -9.344597E-02 4.931421E-05 4.948266E+00 -2.646862E+02 -2.672015E+02 -5.339205E+02 2.885342E-01 -1.069082E+02 -1.069082E+02 -1.069082E+02 -2.574241E+02
 1.496248E-02 3.237691E+03 3.059583E+05 3.336574E+05 1.681383E+03 8.872662E+04 8.872662E+04 8.872662E+04 3.167450E+05 3.293765E+05 -1.451905E+03 -1.451785E+03 -6.673148E+05 -5.323495E+02 -2.434658E+03 4.488154E-02 -9.127526E-02 4.862336E-05 5.597086E+00 -2.635999E+02 -2.661314E+02 -5.317798E+02 -1.762398E-01 -1.059643E+02 -1.059643E+02 -1.059643E+02 -2.563609E+02
 1.505221E-02 3.103484E+03 3.044827E+05 3.323791E+05 1.661409E+03 8.786685E+04 8.786685E+04 8.786685E+04 3.154635E+05 3.280676E+05 -1.428837E+03 -1.428723E+03 -6.647581E+05 -5.302182E+02 -2.396024E+03 4.431001E-02 -8.906863E-02 4.790521E-05 6.109721E+00 -2.625178E+02 -2.650652E+02 -5.296473E+02 -6.223774E-01 -1.050296E+02 -1.050296E+02 -1.050296E+02 -2.553031E+02
 1.514201E-02 2.964282E+03 3.030118E+05 3.311047E+05 1.649287E+03 8.701636E+04 8.701636E+04 8.701636E+04 3.141863E+05 3.267628E+05 -1.406219E+03 -1.406112E+03 -6.622093E+05 -5.280938E+02 -2.358143E+03 4.374180E-02 -8.686197E-02 4.716122E-05 6.480752E+00 -2.614393E+02 -2.640025E+02 -5.275217E+02 -1.033349E+00 -1.041036E+02 -1.041036E+02 -1.041036E+02 -2.542503E+02
 1.523188E-02 2.822456E+03 3.015455E+05 3.298341E+05 1.644107E+03 8.617501E+04 8.617501E+04 8.617501E+04 3.129131E+05 3.254619E+05 -1.384040E+03 -1.383938E+03 -6.596681E+05 -5.259761E+02 -2.320997E+03 4.317690E-02 -8.468975E-02 4.639332E-05 6.709444E+00 -2.603643E+02 -2.629432E+02 -5.254027E+02 -1.394291E+00 -1.031863E+02 -1.031863E+02 -1.031863E+02 -2.532023E+02
 1.532181E-02 2.680266E+03 3.000848E+05 3.285676E+05 1.644762E+03 8.534279E+04 8.534279E+04 8.534279E+04 3.116446E+05 3.241654E+05 -1.362292E+03 -1.362195E+03 -6.571352E+05 -5.238658E+02 -2.284570E+03 4.261545E-02 -8.258384E-02 4.560385E-05 6.799106E+00 -2.592931E+02 -2.618876E+02 -5.232913E+02 -1.692476E+00 -1.022777E+02 -1.022777E+02 -1.022777E+02 -2.521595E+02
 1.541181E-02 2.539873E+03 2.986286E+05 3.273049E+05 1.649963E+03 8.451945E+04 8.451945E+04 8.451945E+04 3.103801E+05 3.228727E+05 -1.340961E+03 -1.340869E+03 -6.546098E+05 -5.217620E+02 -2.248843E+03 4.205775E-02 -8.057294E-02 4.479562E-05 6.757050E+00 -2.582254E+02 -2.608354E+02 -5.211865E+02 -1.917813E+00 -1.013776E+02 -1.013776E+02 -1.013776E+02 -2.511215E+02
 1.550187E-02 2.403193E+03 2.971784E+05 3.260465E+05 1.658322E+03 8.370504E+04 8.370504E+04 8.370504E+04 3.091203E+05 3.215846E+05 -1.320040E+03 -1.319952E+03 -6.520929E+05 -5.196659E+02 -2.213802E+03 4.150420E-02 -7.868146E-02 4.397175E-05 6.593949E+00 -2.571618E+02 -2.597871E+02 -5.190894E+02 -2.063109E+00 -1.004862E+02 -1.004862E+02 -1.004862E+02 -2.500887E+02
 1.559201E-02 2.271938E+03 2.957331E+05 3.247919E+05 1.668383E+03 8.289932E+04 8.289932E+04 8.289932E+04 3.078647E+05 3.203005E+05 -1.299518E+03 -1.299434E+03 -6.495837E+05 -5.175765E+02 -2.179429E+03 4.095532E-02 -7.692911E-02 4.313568E-05 6.323540E+00 -2.561019E+02 -2.587423E+02 -5.169992E+02 -2.124353E+00 -9.960315E+01 -9.960315E+01 -9.960315E+01 -2.490605E+02
 1.568222E-02 2.147514E+03 2.942930E+05 3.235412E+05 1.678689E+03 8.210220E+04 8.210220E+04 8.210220E+04 3.066134E+05 3.190205E+05 -1.279386E+03 -1.279305E+03 -6.470824E+05 -5.154941E+02 -2.145707E+03 4.041167E-02 -7.533020E-02 4.229112E-05 5.962103E+00 -2.550457E+02 -2.577011E+02 -5.149161E+02 -2.100921E+00 -9.872849E+01 -9.872849E+01 -9.872849E+01 -2.480370E+02
 1.577250E-02 2.031062E+03 2.928574E+05 3.222943E+05 1.687835E+03 8.131349E+04 8.131349E+04 8.131349E+04 3.053662E+05 3.177443E+05 -1.259633E+03 -1.259554E+03 -6.445885E+05 -5.134182E+02 -2.112620E+03 3.987387E-02 -7.389390E-02 4.144198E-05 5.527561E+00 -2.539930E+02 -2.566634E+02 -5.128397E+02 -1.995226E+00 -9.786204E+01 -9.786204E+01 -9.786204E+01 -2.470178E+02
 1.586286E-02 1.923367E+03 2.914286E+05 3.210518E+05 1.694526E+03 8.053335E+04 8.053335E+04 8.053335E+04 3.041241E+05 3.164729E+05 -1.240255E+03 -1.240177E+03 -6.421035E+05 -5.113503E+02 -2.080158E+03 3.934254E-02 -7.262387E-02 4.059226E-05 5.038787E+00 -2.529447E+02 -2.556297E+02 -5.107715E+02 -1.812895E+00 -9.700400E+01 -9.700400E+01 -9.700400E+01 -2.460033E+02
 1.595329E-02 1.824933E+03 2.900044E+05 3.198129E+05 1.697606E+03 7.976140E+04 7.976140E+04 7.976140E+04 3.028859E+05 3.152054E+05 -1.221238E+03 -1.221161E+03 -6.396258E+05 -5.092889E+02 -2.048302E+03 3.881828E-02 -7.151803E-02 3.974604E-05 4.515394E+00 -2.518999E+02 -2.545995E+02 -5.087099E+02 -1.562405E+00 -9.615399E+01 -9.615399E+01 -9.615399E+01 -2.449928E+02
 1.604380E-02 1.735946E+03 2.885849E+05 3.185779E+05 1.696111E+03 7.899755E+04 7.899755E+04 7.899755E+04 3.016519E+05 3.139418E+05 -1.202574E+03 -1.202499E+03 -6.371557E+05 -5.072341E+02 -2.017038E+03 3.830165E-02 -7.056945E-02 3.890739E-05 3.976549E+00 -2.508586E+02 -2.535727E+02 -5.066550E+02 -1.254690E+00 -9.531195E+01 -9.531195E+01 -9.531195E+01 -2.439859E+02
 1.613439E-02 1.656304E+03 2.871713E+05 3.173469E+05 1.689295E+03 7.824183E+04 7.824183E+04 7.824183E+04 3.004225E+05 3.126825E+05 -1.184258E+03 -1.184183E+03 -6.346937E+05 -5.051866E+02 -1.986354E+03 3.779316E-02 -6.976685E-02 3.808029E-05 3.440388E+00 -2.498214E+02 -2.525497E+02 -5.046075E+02 -9.026403E-01 -9.447792E+01 -9.447792E+01 -9.447792E+01 -2.429831E+02
 1.622506E-02 1.585647E+03 2.857626E+05 3.161196E+05 1.676659E+03 7.749402E+04 7.749402E+04 7.749402E+04 2.991971E+05 3.114272E+05 -1.166279E+03 -1.166204E+03 -6.322392E+05 -5.031457E+02 -1.956234E+03 3.729323E-02 -6.909451E-02 3.726862E-05 2.923661E+00 -2.487876E+02 -2.515301E+02 -5.025668E+02 -5.207247E-01 -9.365165E+01 -9.365165E+01 -9.365165E+01 -2.419836E+02
